Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Pittsburgh Steelers,23,20,20,2,20,20,1,1,20,1
Tennessee Titans,7,27,27,1,27,27,2,7,27,2
New York Giants,1,18,18,6,18,18,3,5,18,3
Carolina Panthers,2,7,7,3,7,7,4,12,7,4
Indianapolis Colts,29,2,2,5,2,2,5,11,2,5
Baltimore Ravens,3,28,28,4,28,28,6,2,28,6
Atlanta Falcons,5,14,14,7,14,14,7,24,14,7
New England Patriots,20,5,5,8,5,5,8,10,5,8
Miami Dolphins,12,21,21,9,21,21,9,15,21,9
Minnesota Vikings,4,30,30,10,30,30,10,6,30,10
Philadelphia Eagles,17,6,6,11,6,6,11,3,6,11
Dallas Cowboys,13,9,9,12,9,9,12,8,9,12
Chicago Bears,16,23,23,13,23,23,13,21,23,13
San Diego Chargers,8,4,4,14,4,4,14,25,4,14
New Orleans Saints,9,1,1,15,1,1,15,23,1,15
Arizona Cardinals,27,8,8,16,8,8,16,19,8,16
Green Bay Packers,25,3,3,17,3,3,17,22,3,17
Washington Redskins,18,16,16,18,16,16,18,4,16,18
Tampa Bay Buccaneers,11,17,17,19,17,17,19,9,17,19
Houston Texans,6,10,10,20,10,10,20,27,10,20
Buffalo Bills,14,15,15,21,15,15,21,14,15,21
Denver Broncos,10,11,11,22,11,11,22,30,11,22
New York Jets,15,12,12,23,12,12,23,16,12,23
Jacksonville Jaguars,19,19,19,24,19,19,24,26,19,24
Seattle Seahawks,21,22,22,25,22,22,25,13,22,25
Cleveland Browns,24,24,24,26,24,24,26,17,24,26
San Francisco 49ers,22,25,25,27,25,25,27,18,25,27
Cincinnati Bengals,26,26,26,28,26,26,28,20,26,28
Oakland Raiders,28,29,29,29,29,29,29,28,29,29
Kansas City Chiefs,30,31,31,30,31,31,30,31,31,30
St. Louis Rams,31,32,32,31,32,32,31,32,32,31
Detroit Lions,32,13,13,32,13,13,32,29,13,32
