Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Atlanta Falcons,5,1,2,27,1,1,1,25,2,11
New England Patriots,7,4,1,3,3,3,2,8,4,8
Pittsburgh Steelers,14,6,4,10,5,5,5,10,7,5
Dallas Cowboys,2,5,5,5,4,2,3,14,5,2
Green Bay Packers,8,3,3,17,2,4,6,22,8,12
Kansas City Chiefs,13,20,18,1,9,8,7,24,20,1
Seattle Seahawks,20,9,9,6,13,12,8,5,12,17
New York Giants,29,22,23,2,24,22,11,2,25,21
Oakland Raiders,6,7,7,16,6,6,4,26,6,7
Detroit Lions,24,11,10,4,15,11,13,18,21,4
Miami Dolphins,9,16,16,14,16,15,12,18,24,15
Tampa Bay Buccaneers,16,14,14,7,14,13,14,15,16,13
Denver Broncos,25,13,12,12,21,19,15,4,27,9
Houston Texans,27,28,26,9,27,27,16,1,29,22
Washington Redskins,10,2,6,25,7,7,9,28,3,10
Baltimore Ravens,17,17,17,8,17,16,10,7,17,3
Minnesota Vikings,31,19,20,11,25,25,17,3,28,14
Tennessee Titans,1,8,8,22,8,9,18,20,11,6
Indianapolis Colts,22,10,11,28,10,10,19,30,9,19
Buffalo Bills,3,12,13,20,11,14,20,19,13,18
Arizona Cardinals,12,15,15,19,12,17,21,6,14,16
New Orleans Saints,4,18,19,31,18,18,22,27,1,23
Carolina Panthers,11,21,21,18,19,20,23,21,10,20
Cincinnati Bengals,18,23,22,15,20,21,24,11,18,24
Philadelphia Eagles,15,24,24,13,22,23,25,12,19,25
San Diego Chargers,19,25,25,24,23,24,26,23,15,26
New York Jets,30,31,31,21,31,31,27,9,31,29
Chicago Bears,21,26,27,26,26,26,28,16,22,27
Jacksonville Jaguars,23,29,29,23,28,28,29,13,23,28
Los Angeles Rams,32,32,32,29,32,32,30,17,32,32
San Francisco 49ers,26,30,30,30,29,29,31,31,26,30
Cleveland Browns,28,27,28,32,30,30,32,32,30,31
