Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Kansas City Chiefs,15,1,1,14,1,1,2,16,1,1
Green Bay Packers,8,2,2,5,2,2,1,13,5,2
Buffalo Bills,20,3,3,3,3,3,3,14,3,3
Tennessee Titans,3,18,18,10,18,18,6,24,18,4
New Orleans Saints,6,5,5,1,5,5,5,4,5,5
Tampa Bay Buccaneers,28,7,7,4,7,7,7,6,7,6
Baltimore Ravens,1,32,32,2,32,32,4,2,32,7
Pittsburgh Steelers,31,24,24,6,24,24,8,3,24,8
Seattle Seahawks,5,4,4,22,4,4,9,22,4,9
Los Angeles Rams,12,11,11,7,11,11,10,1,11,10
Indianapolis Colts,11,12,12,8,12,12,11,8,12,11
Cleveland Browns,2,19,19,9,19,19,12,17,19,12
Miami Dolphins,25,20,20,11,20,20,13,20,20,13
Chicago Bears,29,21,21,12,21,21,14,11,21,14
Arizona Cardinals,4,6,6,23,6,6,15,12,6,15
Las Vegas Raiders,7,8,8,24,8,8,16,25,8,16
Minnesota Vikings,9,9,9,13,9,9,17,27,9,17
San Francisco 49ers,10,10,10,15,10,10,18,5,10,18
Los Angeles Chargers,17,13,13,16,13,13,19,18,13,19
New England Patriots,14,14,14,17,14,14,20,15,14,20
Dallas Cowboys,16,15,15,18,15,15,21,23,15,21
New York Giants,18,16,16,19,16,16,22,19,16,22
Detroit Lions,19,17,17,20,17,17,23,21,17,23
Philadelphia Eagles,21,22,22,21,22,22,24,9,22,24
Carolina Panthers,13,23,23,25,23,23,25,28,23,25
Atlanta Falcons,22,25,25,26,25,25,26,29,25,26
Cincinnati Bengals,23,26,26,27,26,26,27,26,26,27
Houston Texans,24,27,27,28,27,27,28,30,27,28
Denver Broncos,26,28,28,29,28,28,29,7,28,29
New York Jets,27,29,29,30,29,29,30,31,29,30
Jacksonville Jaguars,30,30,30,31,30,30,31,32,30,31
Washington Football Team,32,31,31,32,31,31,32,10,31,32
