Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Denver Broncos,1,4,3,4,5,3,4,2,4,1
New England Patriots,7,1,1,11,1,1,1,25,1,2
Atlanta Falcons,14,5,5,6,4,5,5,24,8,3
San Francisco 49ers,2,23,20,2,9,2,2,3,11,4
Houston Texans,4,11,10,3,6,4,3,7,7,5
Green Bay Packers,21,3,2,8,2,6,6,11,13,6
Baltimore Ravens,10,15,14,10,11,9,7,17,16,7
Washington Redskins,3,10,9,20,3,7,8,28,5,8
Seattle Seahawks,5,27,26,1,18,12,9,4,27,9
Chicago Bears,17,21,19,5,20,18,10,5,28,10
New York Giants,12,8,7,25,7,8,11,31,6,11
Cincinnati Bengals,6,16,15,7,12,10,12,6,22,12
Minnesota Vikings,8,30,29,14,24,22,13,16,20,13
Indianapolis Colts,24,18,17,19,14,14,14,26,10,14
Dallas Cowboys,19,7,6,27,8,11,15,19,3,15
Carolina Panthers,9,9,8,21,10,13,16,10,12,16
New Orleans Saints,11,2,4,31,13,15,17,32,2,17
Pittsburgh Steelers,13,12,12,9,15,16,18,1,21,18
Tampa Bay Buccaneers,15,13,13,16,16,17,19,23,9,19
St. Louis Rams,20,19,18,12,19,19,20,14,19,20
San Diego Chargers,16,6,11,22,17,20,21,9,14,21
Miami Dolphins,18,17,16,13,21,21,22,21,15,22
Detroit Lions,22,14,21,24,22,23,23,13,17,23
Buffalo Bills,23,20,22,15,23,24,24,22,18,24
New York Jets,25,22,23,17,25,25,25,8,25,25
Tennessee Titans,26,24,24,18,26,26,26,18,23,26
Oakland Raiders,27,25,25,23,27,27,27,20,24,27
Cleveland Browns,28,26,27,26,28,28,28,15,26,28
Arizona Cardinals,29,28,28,28,29,29,29,12,29,29
Jacksonville Jaguars,30,29,30,29,30,30,30,27,30,30
Kansas City Chiefs,31,31,31,30,31,31,31,30,31,31
Philadelphia Eagles,32,32,32,32,32,32,32,29,32,32
