Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Indianapolis Colts,18,2,2,1,2,2,1,21,2,1
Chicago Bears,16,23,23,2,23,23,2,3,23,2
San Diego Chargers,1,1,1,3,1,1,3,10,1,3
Baltimore Ravens,3,28,28,4,28,28,4,1,28,4
New England Patriots,12,5,5,5,5,5,5,6,5,5
New Orleans Saints,4,6,6,6,6,6,6,13,6,6
Philadelphia Eagles,9,4,4,7,4,4,7,15,4,7
Denver Broncos,5,18,18,8,18,18,8,8,18,8
Dallas Cowboys,6,8,8,9,8,8,9,20,8,9
Seattle Seahawks,10,9,9,10,9,9,10,19,9,10
New York Jets,7,12,12,11,12,12,11,16,12,11
Jacksonville Jaguars,2,25,25,12,25,25,12,2,25,12
Kansas City Chiefs,8,10,10,13,10,10,13,11,10,13
Cincinnati Bengals,11,3,3,14,3,3,14,30,3,14
Carolina Panthers,13,11,11,15,11,11,15,7,11,15
Pittsburgh Steelers,20,13,13,16,13,13,16,9,13,16
St. Louis Rams,14,7,7,17,7,7,17,31,7,17
Tennessee Titans,17,20,20,18,20,20,18,5,20,18
San Francisco 49ers,15,16,16,19,16,16,19,14,16,19
New York Giants,19,14,14,20,14,14,20,25,14,20
Buffalo Bills,21,19,19,21,19,19,21,18,19,21
Green Bay Packers,22,15,15,22,15,15,22,12,15,22
Minnesota Vikings,23,27,27,23,27,27,23,4,27,23
Miami Dolphins,24,17,17,24,17,17,24,17,17,24
Atlanta Falcons,25,21,21,25,21,21,25,22,21,25
Washington Redskins,26,22,22,26,22,22,26,24,22,26
Arizona Cardinals,27,24,24,27,24,24,27,29,24,27
Houston Texans,28,26,26,28,26,26,28,27,26,28
Tampa Bay Buccaneers,29,29,29,29,29,29,29,23,29,29
Cleveland Browns,30,30,30,30,30,30,30,26,30,30
Detroit Lions,31,31,31,31,31,31,31,28,31,31
Oakland Raiders,32,32,32,32,32,32,32,32,32,32
