Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
New England Patriots,17,19,18,1,15,14,1,2,17,1
Pittsburgh Steelers,6,27,26,10,27,20,2,11,23,11
Philadelphia Eagles,11,6,6,2,4,2,3,1,13,3
Indianapolis Colts,20,1,1,3,1,1,4,28,2,2
San Diego Chargers,1,12,11,4,12,11,5,17,10,3
Atlanta Falcons,3,29,29,5,29,29,6,22,30,4
New York Jets,10,17,17,6,17,17,7,8,19,5
Denver Broncos,5,18,19,7,18,19,8,6,18,6
Baltimore Ravens,13,30,30,8,30,30,9,3,31,7
Minnesota Vikings,18,2,2,9,2,3,10,27,1,8
Green Bay Packers,16,3,3,11,3,4,11,25,3,9
Seattle Seahawks,2,4,4,12,4,5,12,12,4,10
Buffalo Bills,9,7,7,13,7,6,13,13,7,12
Jacksonville Jaguars,14,8,8,14,8,7,14,5,8,13
Houston Texans,15,9,9,15,9,8,15,24,9,14
Cincinnati Bengals,21,10,10,16,10,9,16,26,11,15
Kansas City Chiefs,22,11,12,17,11,10,17,30,12,16
St. Louis Rams,19,13,13,18,13,12,18,29,14,17
New Orleans Saints,23,14,14,19,14,13,19,21,15,18
Carolina Panthers,4,15,15,20,15,15,20,7,16,19
Dallas Cowboys,12,16,16,21,16,16,21,16,20,20
Detroit Lions,24,20,20,22,20,18,22,10,21,21
Tennessee Titans,7,21,21,23,21,21,23,19,22,22
Chicago Bears,25,22,22,24,22,22,24,4,24,23
New York Giants,26,23,23,25,23,23,25,15,25,24
Tampa Bay Buccaneers,27,24,24,26,24,24,26,9,26,25
Washington Redskins,28,25,25,27,25,25,27,14,27,26
Arizona Cardinals,29,26,27,28,26,26,28,20,28,27
Oakland Raiders,8,28,25,29,28,27,29,23,29,28
Miami Dolphins,31,31,31,30,31,31,30,18,32,29
Cleveland Browns,32,32,32,31,32,32,31,26,32,30
San Francisco 49ers,30,3,5,32,2,28,32,31,6,31
