Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Pittsburgh Steelers,2,24,24,1,24,24,1,3,24,1
Seattle Seahawks,1,1,1,2,1,1,2,7,1,2
Denver Broncos,3,23,23,3,23,23,3,15,23,3
Indianapolis Colts,24,2,2,4,2,2,4,11,2,4
Chicago Bears,15,31,31,5,31,31,5,1,31,5
Carolina Panthers,5,5,5,6,5,5,6,3,5,6
Cincinnati Bengals,16,3,3,7,3,3,7,28,3,7
New England Patriots,22,7,7,8,7,7,8,26,7,8
Jacksonville Jaguars,4,25,25,9,25,25,9,6,25,9
Tampa Bay Buccaneers,21,8,8,10,8,8,10,8,8,10
New York Giants,6,9,9,11,9,9,11,24,9,11
Washington Redskins,7,10,10,12,10,10,12,9,10,12
San Diego Chargers,8,4,4,13,4,4,13,13,4,13
Kansas City Chiefs,9,6,6,14,6,6,14,25,6,14
Dallas Cowboys,10,11,11,15,11,11,15,10,11,15
Atlanta Falcons,11,12,12,16,12,12,16,14,12,16
Minnesota Vikings,12,13,13,17,13,13,17,2,13,17
Baltimore Ravens,13,14,14,18,14,14,18,5,14,18
Miami Dolphins,14,15,15,19,15,15,19,4,15,19
Philadelphia Eagles,17,16,16,20,16,16,20,16,16,20
Arizona Cardinals,18,17,17,21,17,17,21,21,17,21
St. Louis Rams,19,18,18,22,18,18,22,29,18,22
Detroit Lions,20,19,19,23,19,19,23,22,19,23
New York Jets,23,20,20,24,20,20,24,18,20,24
Green Bay Packers,25,21,21,25,21,21,25,12,21,25
New Orleans Saints,26,22,22,26,22,22,26,30,22,26
Buffalo Bills,27,26,26,27,26,26,27,17,26,27
Oakland Raiders,28,27,27,28,27,27,28,19,27,28
Tennessee Titans,29,28,28,29,28,28,29,20,28,29
Cleveland Browns,30,29,29,30,29,29,30,27,29,30
San Francisco 49ers,31,30,30,31,30,30,31,31,30,31
Houston Texans,32,32,32,32,32,32,32,32,32,32
