Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Baltimore Ravens,2,1,9,15,11,18,4,8,16,5
Detroit Lions,5,7,2,13,14,8,1,12,4,4
Tampa Bay Buccaneers,3,5,1,22,21,27,5,18,26,1
San Francisco 49ers,4,3,13,27,6,26,9,7,5,6
Philadelphia Eagles,8,6,10,3,3,1,3,1,6,3
Buffalo Bills,11,8,20,1,1,4,2,14,9,27
Cincinnati Bengals,14,11,3,14,4,22,11,16,15,28
Washington Commanders,6,12,6,9,25,1,7,13,6,26
Green Bay Packers,8,4,21,8,18,17,6,4,5,27
Atlanta Falcons,12,9,15,23,10,6,14,20,20,31
Kansas City Chiefs,13,10,11,10,2,25,12,9,13,10
Arizona Cardinals,2,15,7,18,26,12,13,22,11,8
Miami Dolphins,16,9,4,20,24,17,15,6,18,6
Minnesota Vikings,17,6,12,6,12,3,9,19,12,20
Los Angeles Chargers,18,13,17,4,8,20,10,17,25,2
Houston Texans,19,16,24,5,31,19,8,2,11,21
New York Jets,20,14,22,16,27,16,16,5,18,30
Denver Broncos,21,17,14,11,32,18,17,15,23,9
Pittsburgh Steelers,22,18,19,2,7,15,18,21,24,2
Los Angeles Rams,23,19,14,12,17,21,19,23,19,12
Carolina Panthers,24,20,28,21,30,22,20,24,28,17
New Orleans Saints,25,21,30,22,15,23,21,25,20,11
Cleveland Browns,26,22,31,32,20,24,22,26,31,32
Chicago Bears,27,23,27,7,13,25,23,27,32,18
Seattle Seahawks,28,24,5,23,19,12,24,28,14,13
Tennessee Titans,29,25,23,30,23,27,25,29,29,5
Indianapolis Colts,30,26,32,19,29,28,26,30,17,32
Las Vegas Raiders,31,27,18,30,16,29,27,31,27,16
New York Giants,32,28,29,26,22,30,28,32,22,23
Dallas Cowboys,15,29,25,28,5,15,29,10,19,15
New England Patriots,10,30,26,29,28,32,30,11,30,26
Jacksonville Jaguars,9,31,24,31,9,23,31,3,26,4
