Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Arizona Cardinals,28,29,30,10,31,24,12,5,24,1
Atlanta Falcons,24,8,5,26,12,13,27,32,8,12
Baltimore Ravens,9,12,16,13,9,8,6,8,12,15
Buffalo Bills,3,30,31,4,25,31,15,4,26,28
Carolina Panthers,7,19,28,20,18,19,19,10,16,21
Chicago Bears,15,15,12,32,27,27,30,27,21,7
Cincinnati Bengals,12,20,11,8,13,11,13,12,15,5
Cleveland Browns,21,24,24,6,20,15,18,23,27,10
Dallas Cowboys,2,5,2,14,2,1,5,19,7,3
Denver Broncos,14,1,1,18,1,3,1,16,1,2
Detroit Lions,11,13,15,3,10,5,3,2,19,19
Green Bay Packers,5,2,3,2,3,2,2,15,6,6
Houston Texans,17,27,27,5,24,18,16,7,29,14
Indianapolis Colts,20,10,8,22,5,6,9,11,3,13
Jacksonville Jaguars,30,31,29,29,30,30,31,26,31,30
Kansas City Chiefs,1,23,19,7,16,12,10,3,25,17
Miami Dolphins,8,17,14,15,14,10,14,20,14,22
Minnesota Vikings,6,25,26,12,22,21,22,14,23,24
New England Patriots,18,7,7,1,4,4,4,13,11,9
New Orleans Saints,23,4,4,25,7,7,21,31,2,8
New York Giants,25,9,9,28,15,16,24,30,9,20
New York Jets,27,32,32,21,32,32,29,6,32,31
Oakland Raiders,32,28,23,31,29,29,32,21,30,29
Philadelphia Eagles,4,3,6,9,6,9,7,28,5,4
Pittsburgh Steelers,10,6,10,16,8,14,8,18,4,11
San Diego Chargers,16,11,13,11,11,17,11,9,10,18
San Francisco 49ers,13,16,17,19,17,20,17,1,17,23
Seattle Seahawks,19,14,18,17,19,22,20,1,20,16
St. Louis Rams,22,21,20,24,21,23,23,3,28,27
Tampa Bay Buccaneers,29,26,25,30,28,28,28,25,22,32
Tennessee Titans,26,18,21,23,23,25,25,22,13,25
Washington Redskins,31,22,22,27,26,26,26,24,18,26
