Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Kansas City Chiefs,23,1,1,2,1,1,1,17,5,1
San Francisco 49ers,2,13,13,6,13,13,2,2,13,2
Baltimore Ravens,1,3,3,3,3,3,3,4,3,3
New Orleans Saints,5,2,2,1,2,2,4,11,2,4
Green Bay Packers,15,7,7,4,7,7,5,9,7,5
New England Patriots,10,8,8,5,8,8,6,1,8,6
Minnesota Vikings,6,12,12,7,12,12,7,14,12,7
Seattle Seahawks,4,4,4,8,4,4,8,22,4,8
Houston Texans,18,5,5,9,5,5,9,28,5,9
Buffalo Bills,9,26,26,10,26,26,10,3,26,10
Tennessee Titans,3,21,21,11,21,21,11,12,21,11
Philadelphia Eagles,7,9,9,12,9,9,12,10,9,12
Los Angeles Rams,8,11,11,13,11,11,13,17,11,13
Pittsburgh Steelers,28,31,31,14,31,31,14,5,31,14
Dallas Cowboys,11,6,6,15,6,6,15,9,6,15
Chicago Bears,27,29,29,16,29,29,16,8,29,16
Indianapolis Colts,12,16,16,17,16,16,17,16,16,17
Tampa Bay Buccaneers,24,10,10,18,10,10,18,15,10,18
Oakland Raiders,14,14,14,19,14,14,19,24,14,19
Denver Broncos,16,15,15,20,15,15,20,12,15,20
Los Angeles Chargers,19,17,17,21,17,17,21,6,17,21
Cleveland Browns,17,18,18,22,18,18,22,22,18,22
Arizona Cardinals,20,19,19,23,19,19,23,32,19,23
New York Jets,21,20,20,24,20,20,24,7,20,24
Carolina Panthers,13,22,22,25,22,22,25,23,22,25
Atlanta Falcons,22,23,23,26,23,23,26,20,23,26
Jacksonville Jaguars,25,24,24,27,24,24,27,25,24,27
Miami Dolphins,26,25,25,28,25,25,28,30,25,28
New York Giants,29,27,27,29,27,27,29,21,27,29
Washington Redskins,30,28,28,30,28,28,30,27,28,30
Detroit Lions,31,30,30,31,30,30,31,31,30,31
Cincinnati Bengals,32,32,32,32,32,32,32,26,32,32
