Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Baltimore Ravens,3,2,4,5,1,6,2,4,3,5
Detroit Lions,5,7,6,4,3,8,1,6,5,4
San Francisco 49ers,4,3,5,6,2,7,4,5,4,6
Philadelphia Eagles,8,6,7,3,5,9,3,8,7,3
Kansas City Chiefs,6,9,8,7,4,10,5,7,6,7
Buffalo Bills,7,8,9,8,6,11,6,9,8,8
Cincinnati Bengals,10,12,11,9,8,13,7,10,10,9
Dallas Cowboys,9,11,10,11,7,12,9,12,9,11
Miami Dolphins,11,13,12,10,9,14,8,11,11,10
Jacksonville Jaguars,12,14,13,12,11,15,10,13,12,12
Seattle Seahawks,15,17,15,15,10,17,12,14,13,15
Minnesota Vikings,14,16,14,14,12,16,11,16,15,14
Pittsburgh Steelers,18,20,17,16,14,19,14,15,14,16
Los Angeles Chargers,17,19,16,17,13,18,13,17,17,17
New York Jets,19,21,19,20,15,20,15,19,16,20
Green Bay Packers,21,23,18,18,17,22,17,18,18,18
Cleveland Browns,20,22,20,19,16,21,16,20,19,19
New Orleans Saints,23,25,23,22,18,23,18,21,21,21
Atlanta Falcons,22,24,22,21,19,24,19,23,20,22
Houston Texans,25,27,25,23,21,25,21,22,22,23
Tennessee Titans,24,26,24,24,20,27,20,24,23,24
Las Vegas Raiders,27,29,26,26,23,26,22,25,25,25
Indianapolis Colts,26,28,28,25,22,28,23,27,24,26
Washington Commanders,29,31,27,27,25,29,25,26,26,27
Chicago Bears,28,30,29,28,24,30,24,29,27,28
New York Giants,30,32,30,29,27,31,26,28,28,29
Denver Broncos,31,1,32,30,26,32,28,30,30,31
Tampa Bay Buccaneers,32,4,1,31,28,1,27,31,29,30
Carolina Panthers,13,15,2,13,30,2,30,32,32,32
Arizona Cardinals,16,18,3,32,29,3,29,1,31,1
New England Patriots,2,5,31,1,31,4,31,2,1,2
Los Angeles Rams,1,10,21,2,32,5,32,3,2,13
