Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Arizona Cardinals,31,31,31,21,29,28,32,4,32,27
Atlanta Falcons,19,15,16,18,19,19,20,28,6,16
Baltimore Ravens,6,12,12,1,1,1,6,1,9,4
Buffalo Bills,29,30,30,8,31,23,27,2,30,22
Carolina Panthers,9,17,17,23,13,16,15,15,12,14
Chicago Bears,15,21,16,3,12,12,3,3,21,32
Cincinnati Bengals,12,23,23,26,28,9,25,32,17,20
Cleveland Browns,8,20,19,9,30,30,18,30,13,19
Dallas Cowboys,10,10,11,14,9,5,11,6,22,9
Denver Broncos,10,26,30,31,31,13,17,22,19,30
Detroit Lions,21,19,20,17,21,20,22,27,8,18
Green Bay Packers,13,9,8,28,16,22,16,18,7,11
Houston Texans,11,7,7,30,27,8,8,12,5,31
Indianapolis Colts,13,9,5,5,2,20,7,11,7,8
Jacksonville Jaguars,28,32,32,24,14,14,23,5,32,31
Kansas City Chiefs,5,1,6,6,3,16,4,31,1,6
Los Angeles Chargers,9,6,4,20,7,3,9,8,6,2
Los Angeles Rams,3,2,1,12,5,7,2,19,2,1
Miami Dolphins,27,25,25,22,24,25,24,18,26,25
Minnesota Vikings,16,13,14,16,15,18,14,4,20,10
New England Patriots,14,16,15,4,10,10,5,21,5,3
New Orleans Saints,2,5,3,2,4,2,1,17,3,5
New York Giants,26,28,27,25,26,27,26,24,28,21
New York Jets,22,24,24,19,18,21,19,7,24,23
Oakland Raiders,30,30,28,29,32,31,31,29,31,28
Philadelphia Eagles,17,14,13,11,11,11,12,15,14,12
Pittsburgh Steelers,7,8,10,7,8,6,10,16,4,13
San Francisco 49ers,1,11,9,27,20,24,21,13,16,17
Seattle Seahawks,4,4,2,10,6,4,11,2,11,7
Tampa Bay Buccaneers,24,3,8,32,22,29,29,27,10,29
Tennessee Titans,18,19,18,15,17,17,15,9,18,15
Washington Redskins,20,18,17,14,16,15,16,10,15,14
