Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Denver Broncos,15,1,1,3,1,1,1,19,1,1
Seattle Seahawks,4,7,8,1,11,8,2,1,17,8
Carolina Panthers,11,29,29,2,13,3,3,2,26,27
San Francisco 49ers,3,12,12,8,5,2,4,5,24,5
New England Patriots,9,10,7,6,7,5,5,26,7,3
New Orleans Saints,8,2,2,22,2,4,6,4,2,2
Cincinnati Bengals,7,8,9,5,9,10,7,3,10,12
Indianapolis Colts,20,9,10,11,8,9,8,9,11,15
Kansas City Chiefs,5,24,23,4,21,21,9,24,21,6
Philadelphia Eagles,1,4,4,20,4,7,10,29,4,9
Arizona Cardinals,17,15,16,7,16,16,11,6,12,13
Chicago Bears,23,3,3,32,3,6,12,30,3,4
San Diego Chargers,10,5,5,17,6,11,13,12,5,10
Green Bay Packers,12,6,6,25,10,12,14,25,6,7
Baltimore Ravens,19,18,18,9,18,18,15,12,18,11
Miami Dolphins,22,19,19,13,19,19,16,8,19,14
Dallas Cowboys,2,11,11,27,12,13,17,32,8,16
Detroit Lions,13,13,13,14,14,14,18,16,13,17
St. Louis Rams,6,17,17,10,17,17,19,7,17,18
New York Jets,16,28,28,12,28,28,20,11,28,19
Tennessee Titans,14,20,20,15,20,20,21,14,20,20
Buffalo Bills,18,21,21,16,22,22,22,10,22,21
Pittsburgh Steelers,21,14,14,23,15,15,23,13,15,22
New York Giants,24,16,15,29,23,23,24,18,16,23
Tampa Bay Buccaneers,25,22,22,18,24,24,25,15,23,24
Oakland Raiders,26,23,24,19,25,25,26,28,25,25
Washington Redskins,27,25,25,21,26,26,27,20,27,26
Minnesota Vikings,28,26,26,24,27,27,28,17,26,28
Cleveland Browns,29,27,27,26,29,29,29,22,29,29
Jacksonville Jaguars,30,30,30,28,30,30,30,23,30,30
Houston Texans,31,31,31,30,31,31,31,21,31,31
Atlanta Falcons,32,32,32,31,32,32,32,27,32,32
