Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Baltimore Ravens,1,1,10,4,2,11,4,8,1,31
Detroit Lions,5,2,2,11,4,4,1,12,2,7
Tampa Bay Buccaneers,3,5,1,15,1,8,5,18,3,1
San Francisco 49ers,7,3,11,12,9,13,9,7,4,27
Philadelphia Eagles,4,7,8,2,8,3,3,1,9,25
Buffalo Bills,11,8,13,1,7,2,2,14,11,27
Cincinnati Bengals,14,11,3,13,5,15,11,16,8,28
Washington Commanders,6,12,6,9,6,1,7,13,5,26
Green Bay Packers,8,4,14,8,11,17,6,4,7,27
Atlanta Falcons,12,9,15,16,12,6,14,20,6,31
Kansas City Chiefs,13,10,12,10,3,5,12,9,10,10
Arizona Cardinals,2,15,7,17,8,12,13,22,12,8
Miami Dolphins,16,9,4,18,7,14,15,6,13,6
Minnesota Vikings,17,6,5,6,10,9,9,19,14,20
Los Angeles Chargers,18,13,9,3,13,10,10,17,15,2
Houston Texans,19,16,16,5,14,19,8,2,16,21
New York Jets,20,14,17,14,15,16,16,5,17,30
Denver Broncos,21,17,18,7,16,18,17,15,18,9
Pittsburgh Steelers,22,18,19,3,17,20,18,21,19,2
Los Angeles Rams,23,19,20,20,18,21,19,23,20,12
Carolina Panthers,24,20,21,21,19,22,20,24,21,17
New Orleans Saints,25,21,22,22,20,23,21,25,22,11
Cleveland Browns,26,22,23,23,21,24,22,26,23,32
Chicago Bears,27,23,24,24,22,25,23,27,24,18
Seattle Seahawks,28,24,25,25,23,26,24,28,25,13
Tennessee Titans,29,25,26,26,24,27,25,29,26,5
Indianapolis Colts,30,26,27,27,25,28,26,30,27,32
Las Vegas Raiders,31,27,28,28,26,29,27,31,28,16
New York Giants,32,28,29,29,27,30,28,32,29,23
Dallas Cowboys,15,29,30,30,28,31,29,10,30,15
New England Patriots,10,30,31,31,29,32,30,11,31,26
Jacksonville Jaguars,9,31,32,32,30,7,31,3,32,4
